SA1_7DIGITCODE_2016,cluster
1104327,Semi-Rural
1104328,Semi-Rural
1104329,Semi-Rural
1104330,Semi-Rural
1104401,Country Towns
1104402,Semi-Rural
1104403,Country Towns
1104404,Semi-Rural
1104405,Semi-Rural
1104406,Rural
1104407,Rural
1104408,Country Towns
1104409,Country Towns
1104410,Country Towns
1104411,Country Towns
1104412,Country Towns
1104414,Semi-Rural
1104415,Semi-Rural
1104416,Country Towns
1104417,Country Towns
1104418,Country Towns
1104419,Semi-Rural
1104420,Country Towns
1104421,Country Towns
1104422,Semi-Rural
1104423,Semi-Rural
1104424,Country Towns
1104425,Country Towns
1104426,Semi-Rural
1104427,Country Towns
1104428,Semi-Rural
1104429,Rural
1104430,Country Towns
1104431,Country Towns
1104432,Country Towns
1104433,Semi-Rural
1104434,Country Towns
1104435,Semi-Rural
1104436,Country Towns
1104437,Country Towns
1104438,Semi-Rural
1104439,Rural
1104440,Country Towns
1104441,Semi-Rural
1104442,Semi-Rural
1104443,Country Towns
1104444,Rural
1104445,Country Towns
1104446,Country Towns
1104447,Country Towns
1104448,Country Towns
1104449,Country Towns
1104450,Semi-Rural
1104451,Semi-Rural
1104452,Country Towns
1104453,Country Towns
1104454,Semi-Rural
1104455,Country Towns
1104456,Semi-Rural
1104457,Semi-Rural
1104458,Semi-Rural
1104459,Semi-Rural
1104501,Country Towns
1104502,Country Towns
1104503,Country Towns
1104504,Semi-Rural
1104505,Country Towns
1104506,Country Towns
1104507,Country Towns
1104508,Country Towns
1104509,Country Towns
1104510,Country Towns
1104511,Country Towns
1104512,Country Towns
1104513,Country Towns
1104514,Semi-Rural
1104515,Country Towns
1104516,Country Towns
1104517,Country Towns
1104518,Semi-Rural
1104519,Semi-Rural
1104521,Country Towns
1104522,Semi-Rural
1104523,Semi-Rural
1104524,Country Towns
1104601,Country Towns
1104602,Country Towns
1104603,Country Towns
1104604,Country Towns
1104605,Rural
1104606,Country Towns
1104607,Country Towns
1104608,Rural
1104609,Country Towns
1104610,Country Towns
1104611,Country Towns
1104612,Country Towns
1104614,Country Towns
1104615,Country Towns
1104616,Country Towns
1104617,Country Towns
1104618,Country Towns
1104619,Country Towns
1104620,Country Towns
1104621,Rural
1104622,Country Towns
1104623,Country Towns
1104624,Country Towns
1104625,Country Towns
1104701,Semi-Rural
1104702,Semi-Rural
1104703,Semi-Rural
1104704,Semi-Rural
1104705,Semi-Rural
1104706,Semi-Rural
1104707,Semi-Rural
1104708,Semi-Rural
1104709,Semi-Rural
1104710,Country Towns
1104711,Country Towns
1104712,Semi-Rural
1104713,Country Towns
1104714,Semi-Rural
1104715,Semi-Rural
1104716,Semi-Rural
1104717,Semi-Rural
1104718,Semi-Rural
1104719,Semi-Rural
1104720,Semi-Rural
1104721,Semi-Rural
1104722,Semi-Rural
1104723,Semi-Rural
1104724,Semi-Rural
1104725,Semi-Rural
1104726,Semi-Rural
1104727,Semi-Rural
1104728,Semi-Rural
1104729,Semi-Rural
1104730,Semi-Rural
1104731,Semi-Rural
1104732,Semi-Rural
1104733,Country Towns
1104734,Semi-Rural
1104735,Semi-Rural
1104736,Semi-Rural
1104737,Country Towns
1104801,Country Towns
1104802,Semi-Rural
1104803,Semi-Rural
1104804,Country Towns
1104805,Rural
1104806,Semi-Rural
1104807,Semi-Rural
1104808,Country Towns
1104809,Country Towns
1104810,Country Towns
1104811,Country Towns
1104812,Semi-Rural
1104813,Country Towns
1104814,Country Towns
1104815,Country Towns
1104816,Country Towns
1104817,Country Towns
1104818,Country Towns
1104819,Country Towns
1104820,Country Towns
1104821,Country Towns
1104822,Country Towns
1104823,Country Towns
1104824,Country Towns
1104825,Country Towns
1104826,Country Towns
1104827,Country Towns
1104828,Country Towns
1104829,Country Towns
1104830,Country Towns
1104831,Semi-Rural
1104832,Rural
1104833,Country Towns
1104834,Country Towns
1104835,Country Towns
1104836,Country Towns
1104837,Country Towns
1104838,Semi-Rural
1104840,Country Towns
1104841,Rural
1104842,Country Towns
1104843,Country Towns
1104844,Semi-Rural
1104845,Country Towns
1104846,Country Towns
1104847,Country Towns
1104848,Semi-Rural
1104849,Country Towns
1104901,Semi-Rural
1104902,Semi-Rural
1104903,Semi-Rural
1104904,Semi-Rural
1104905,Semi-Rural
1104906,Semi-Rural
1104907,Rural
1104908,Rural
1104910,Semi-Rural
1105001,Country Towns
1105002,Rural
1105003,Semi-Rural
1105004,Semi-Rural
1105005,Semi-Rural
1105006,Country Towns
1105007,Semi-Rural
1105008,Country Towns
1105009,Semi-Rural
1105010,Semi-Rural
1105011,Semi-Rural
1105012,Semi-Rural
1105013,Country Towns
1105015,Rural
1105016,Country Towns
1105017,Country Towns
1105018,Semi-Rural
1105019,Semi-Rural
1105020,Country Towns
1105021,Country Towns
1105022,Semi-Rural
1105024,Country Towns
1105025,Country Towns
1105026,Country Towns
1105027,Country Towns
1105028,Country Towns
1105101,Semi-Rural
1105102,Fringe-Growth
1105103,Semi-Rural
1105104,Semi-Rural
1105106,Rural
1105107,Semi-Rural
1105108,Semi-Rural
1105109,Semi-Rural
1105110,Semi-Rural
1105111,Semi-Rural
1105112,Country Towns
1105113,Country Towns
1105114,Semi-Rural
1105115,Semi-Rural
1105116,Semi-Rural
1105201,Country Towns
1105202,Semi-Rural
1105203,Country Towns
1105204,Semi-Rural
1105205,Rural
1105206,Country Towns
1105207,Country Towns
1105208,Country Towns
1105209,Country Towns
1105210,Country Towns
1105213,Semi-Rural
1105214,Semi-Rural
1105215,Country Towns
1105216,Country Towns
1105301,Country Towns
1105302,Country Towns
1105303,Country Towns
1105304,Country Towns
1105305,Country Towns
1105306,Semi-Rural
1105307,Country Towns
1105308,Country Towns
1105309,Country Towns
1105310,Country Towns
1105311,Country Towns
1105312,Country Towns
1105313,Country Towns
1105314,Country Towns
1105315,Country Towns
1105316,Country Towns
1105317,Country Towns
1105318,Country Towns
1105319,Country Towns
1105320,Country Towns
1105321,Country Towns
1105322,Inner Suburbs
1105323,Country Towns
1105324,Semi-Rural
1105325,Country Towns
1105326,Country Towns
1105327,Country Towns
1105328,Inner City
1105329,Inner City
1105330,Inner City
1105331,Country Towns
1105332,Country Towns
1105333,Country Towns
1105334,Country Towns
1105335,Country Towns
1105336,Country Towns
1105337,Country Towns
1105401,Country Towns
1105402,Country Towns
1105403,Country Towns
1105404,Country Towns
1105405,Country Towns
1105406,Country Towns
1105407,Country Towns
1105408,Country Towns
1105409,Country Towns
1105410,Country Towns
1105411,Country Towns
1105412,Semi-Rural
1105413,Semi-Rural
1105414,Country Towns
1105417,Country Towns
1105418,Country Towns
1105419,Country Towns
1105420,Country Towns
1105421,Country Towns
1105422,Country Towns
1105423,Country Towns
1105424,Country Towns
1105501,Rural
1105502,Semi-Rural
1105503,Country Towns
1105504,Country Towns
1105505,Semi-Rural
1105506,Country Towns
1105507,Inner Suburbs
1105508,Country Towns
1105509,Semi-Rural
1105510,Semi-Rural
1105511,Semi-Rural
1105512,Semi-Rural
1105513,Semi-Rural
1105514,Semi-Rural
1105601,Semi-Rural
1105602,Semi-Rural
1105603,Semi-Rural
1105604,Semi-Rural
1105605,Semi-Rural
1105606,Semi-Rural
1105607,Semi-Rural
1105608,Semi-Rural
1105609,Country Towns
1105612,Semi-Rural
1105613,Semi-Rural
1105614,Semi-Rural
1105615,Rural
1105616,Rural
1105617,Rural
1105618,Fringe-Growth
1105620,Semi-Rural
1105622,Semi-Rural
1105623,Semi-Rural
1105624,Rural
1105625,Country Towns
1105626,Fringe-Growth
1105627,Semi-Rural
1105628,Fringe-Growth
1105629,Fringe-Growth
1105630,Country Towns
1105631,Semi-Rural
1105632,Fringe-Growth
1105633,Fringe-Growth
1105701,Fringe-Growth
1105702,Country Towns
1105703,Semi-Rural
1105704,Country Towns
1105705,Country Towns
1105706,Country Towns
1105707,Country Towns
1105708,Semi-Rural
1105709,Semi-Rural
1105710,Country Towns
1105711,Country Towns
1105712,Country Towns
1105713,Country Towns
1105714,Semi-Rural
1105715,Country Towns
1105716,Country Towns
1105717,Country Towns
1105718,Country Towns
1105719,Country Towns
1105720,Country Towns
1105801,Leafy Suburbs
1105802,Rural
1105804,Country Towns
1105805,Country Towns
1105806,Semi-Rural
1105807,Country Towns
1105808,Country Towns
1105809,Rural
1105811,Semi-Rural
1105813,Semi-Rural
1105814,Fringe-Growth
1105815,Semi-Rural
1105816,Rural
1105817,Inner Suburbs
1105818,Country Towns
1105819,Country Towns
1105820,Inner City
1105821,Country Towns
1105822,Country Towns
1105823,Country Towns
1105824,Country Towns
1105825,Country Towns
1105826,Semi-Rural
1105827,Country Towns
1105828,Country Towns
1105829,Country Towns
1105830,Country Towns
1105831,Semi-Rural
1105832,Country Towns
1105833,Country Towns
1105834,Country Towns
1105835,Semi-Rural
1105836,Country Towns
1105837,Semi-Rural
1105838,Semi-Rural
1105839,Semi-Rural
1105840,Country Towns
1105842,Semi-Rural
1105843,Country Towns
1105844,Semi-Rural
