sa1_7digitcode_2016,cluster
1105022,
1105024,1105024
1105025,Country Towns
1105026,Country Towns
1105027,Country Towns
1105028,1105028
1105101,
1105102,
1105103,
1105104,1105104
1105106,
1105107,
1105108,1105108
1105109,
1105110,
1105111,
1105112,1105112
1105113,Country Towns
1105114,
1105115,
1105116,1105116
1105201,Country Towns
1105202,
1105203,Country Towns
1105204,1105204
1105205,Country Towns
1105206,Country Towns
1105207,Country Towns
1105208,1105208
1105209,Country Towns
1105210,Country Towns
1105213,Country Towns
1105214,
1105215,Country Towns
1105216,1105216
1105301,Country Towns
1105302,Country Towns
1105303,Country Towns
1105304,1105304
1105305,Country Towns
1105306,Country Towns
1105307,Country Towns
1105308,1105308
1105309,Country Towns
1105310,Country Towns
1105311,Country Towns
1105312,1105312
1105313,Country Towns
1105314,Country Towns
1105315,Country Towns
1105316,1105316
1105317,Country Towns
1105318,Country Towns
1105319,Country Towns
1105320,1105320
1105321,Country Towns
1105322,Inner Suburbs
1105323,Country Towns
1105324,1105324
1105325,Country Towns
1105326,Country Towns
1105327,Country Towns
1105328,1105328
1105329,
1105330,
1105331,Country Towns
1105332,1105332
1105333,Country Towns
1105334,Country Towns
1105335,Country Towns
1105336,1105336
1105337,Country Towns
1105401,Country Towns
1105402,Country Towns
1105403,Country Towns
1105404,1105404
1105405,Country Towns
1105406,Country Towns
1105407,Country Towns
1105408,1105408
1105409,Country Towns
1105410,Country Towns
1105411,Country Towns
1105412,1105412
1105413,Country Towns
1105414,Country Towns
1105417,Country Towns
1105418,Country Towns
1105419,Country Towns
1105420,1105420
1105421,Country Towns
1105422,Country Towns
1105423,Country Towns
1105424,1105424
1105501,Country Towns
1105502,
1105503,Country Towns
1105504,1105504
1105505,
1105506,Country Towns
1105507,Inner Suburbs
1105508,1105508
1105509,
1105510,
1105511,
1105512,1105512
1105513,
1105514,
1105601,
1105602,
1105603,
1105604,1105604
1105605,
1105606,
1105607,
1105608,1105608
1105609,Country Towns
1105612,1105612
1105613,
1105614,
1105615,Country Towns
1105616,1105616
1105617,
1105618,
1105620,1105620
1105622,
1105623,
1105624,1105624
1105625,Country Towns
1105626,
1105627,
1105628,1105628
1105629,
1105630,Country Towns
1105631,
1105632,1105632
1105633,
1105701,
1105702,Country Towns
1105703,
1105704,1105704
1105705,Country Towns
1105706,Country Towns
1105707,Country Towns
1105708,1105708
1105709,
1105710,Country Towns
1105711,Country Towns
1105712,1105712
1105713,Country Towns
1105714,Country Towns
1105715,Country Towns
1105716,1105716
1105717,Country Towns
1105718,Country Towns
1105719,Country Towns
1105720,1105720
1105801,
1105802,
1105804,1105804
1105805,Inner Suburbs
1105806,
1105807,Country Towns
1105808,1105808
1105809,Country Towns
1105811,
1105813,
1105814,
1105815,
1105816,1105816
1105817,Inner Suburbs
1105818,Country Towns
1105819,Country Towns
1105820,1105820
1105821,Country Towns
1105822,Country Towns
1105823,Country Towns
1105824,1105824
1105825,Country Towns
1105826,
1105827,Country Towns
1105828,1105828
1105829,Country Towns
1105830,Country Towns
1105831,
1105832,1105832
1105833,Country Towns
1105834,Country Towns
1105835,
1105836,1105836
1105837,
1105838,
1105839,
1105840,1105840
1105842,
1105843,Country Towns
1105844,1105844
1105845,Country Towns
1105846,Country Towns
1105847,Country Towns
1105848,1105848
1105850,Country Towns
1105851,Country Towns
1105853,Country Towns
1105854,Country Towns
1105855,Country Towns
1105856,1105856
1105857,Country Towns
1105859,Fringe-Growth
1105860,1105860
1105861,
1105862,
1105863,
1105864,1105864
1105901,Country Towns
1105902,
1105903,Country Towns
